Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
L,FC,VH,A,92.2,77.3,19.4,48.1,85.5,89.6,67
L,FC,VH,A,69.8,69.9,64.3,50.1,83.6,96.8,67
L,FC,VH,A,69.9,87.5,59.5,46.3,89.5,86.5,66.8
L,FC,VH,A,74.7,88.6,48.2,47.2,90.9,86.0,66.8
XL,FC,VH,A,75.3,60.6,77.7,40.3,79.3,44.7,66.1
XL,FC,VH,A,74.0,87.1,37.2,80.2,54.2,25.9,65.9
L,FC,VH,A,73.8,68.9,30.7,68.3,98.4,89.5,65.7
M,FC,VH,B,45.5,23.8,83.9,96.7,87.5,87.7,65.6
L,FC,VH,B,76.8,88.1,82.8,32.8,17.6,36.7,65.5
XL,FC,VH,A,73.0,61.1,56.6,49.6,93.0,82.4,65.5
M,FC,VH,A,53.0,57.1,72.0,69.6,98.0,99.9,65.3
XL,FC,VH,A,84.6,75.1,25.0,80.2,10.4,42.9,65.2
L,FC,VH,A,71.6,64.1,24.7,82.3,100.0,72.9,65.2
XL,FO,VH,A,82.0,79.6,99.7,6.3,9.5,48.7,65
L,CO,VH,A,70.2,52.4,58.0,54.5,100.0,80.2,65
L,CO,VH,A,62.9,57.9,67.6,96.7,14.4,5.2,64.9
L,CO,VH,A,57.2,87.0,62.5,70.0,88.1,42.0,64.7
L,FC,VH,A,57.7,41.4,55.1,82.1,100.0,98.9,64.7
L,FC,VH,B,51.0,24.8,99.6,78.3,57.8,62.4,64.6
L,FC,VH,A,74.4,86.9,47.0,42.3,79.4,81.3,64.5
L,CO,VH,A,76.4,51.4,83.4,41.5,53.6,9.0,63.9
L,FC,VH,A,62.1,58.4,62.6,56.0,92.7,95.3,63.9
M,FO,VH,A,39.1,54.4,93.1,83.3,98.4,43.8,63.6
XL,FC,VH,A,73.7,70.7,31.6,58.0,97.2,73.7,63.2
L,FC,VH,B,71.8,87.7,79.6,31.8,14.9,32.6,62.3
L,CO,VH,A,57.2,96.8,47.0,69.8,61.1,55.5,61.9
L,FC,VH,B,62.4,96.5,85.1,37.9,17.7,27.6,61.6
L,FC,VH,A,77.9,42.1,33.7,70.9,69.2,33.0,61.5
L,FC,VH,A,73.0,58.5,28.5,55.2,93.3,98.8,61.5
XL,FC,VH,A,74.6,43.6,41.8,75.5,57.2,17.3,61.5
L,FC,VH,A,75.7,49.4,46.2,56.5,46.7,64.1,61.4
L,FC,VH,A,60.9,36.3,65.3,53.6,89.7,99.1,61.3
XL,FC,VH,A,69.5,66.2,23.8,85.3,69.7,18.4,60.8
L,FC,VH,A,65.7,57.5,87.8,24.3,65.4,59.7,60.8
L,FC,VH,A,68.9,51.5,93.5,37.0,14.3,20.5,60.7
M,FO,VH,A,35.4,38.5,99.8,69.3,99.2,75.7,60.7
XL,FC,VH,A,80.7,47.1,36.1,61.6,42.0,33.3,60.4
L,FC,VH,A,66.1,54.6,34.3,74.6,72.1,37.9,59.3
XL,FC,HI,A,94.0,73.4,13.6,33.6,55.2,38.4,59.2
XL,FC,VH,A,94.8,90.2,31.4,25.7,8.4,4.8,59.1
L,FC,VH,A,68.5,59.5,85.0,35.1,15.1,14.2,59
XL,FC,VH,A,95.8,89.6,50.9,3.8,11.0,2.6,59
L,FO,VH,A,45.2,35.3,97.9,56.7,32.8,88.8,58.7
XL,FC,HI,A,88.7,61.4,7.2,48.3,60.2,51.1,58.4
XL,FC,VH,A,62.4,47.3,69.4,55.3,49.7,22.9,58.4
L,FC,VH,A,56.2,49.7,61.0,43.3,98.0,99.6,58.3
L,FC,VH,A,63.6,62.0,91.1,31.9,16.4,19.9,58.2
XL,FC,VH,A,63.8,33.2,55.0,75.8,26.1,33.1,58.1
XL,FC,VH,A,67.2,73.5,24.0,49.9,91.3,79.4,57.7
L,CO,VH,A,63.0,53.5,34.5,81.0,23.3,50.7,57.5
XL,FC,VH,B,64.8,55.0,27.8,70.4,44.6,75.8,57.2
M,CO,VH,B,42.1,75.7,60.5,70.3,84.9,44.2,57.1
L,CO,VH,A,75.7,18.8,9.2,97.5,47.2,18.7,56.9
L,FC,HI,A,50.2,47.1,46.2,63.2,91.2,98.0,56.3
L,FC,VH,A,52.2,50.2,58.9,53.0,90.9,66.2,56.3
L,FO,VH,A,46.5,53.5,65.1,63.8,81.0,41.0,56
L,FC,VH,A,57.1,63.0,56.6,39.5,70.9,79.6,56
L,FC,HI,B,92.4,94.6,30.3,11.4,16.8,5.6,56
L,FC,VH,A,51.8,57.2,77.2,35.7,92.8,40.5,55.8
XL,FC,VH,A,71.3,98.4,20.9,42.1,32.6,58.8,55.6
L,FC,VH,A,62.8,41.5,51.7,48.9,78.4,42.4,55.5
L,FC,VH,A,51.0,27.5,97.7,51.3,24.3,25.2,55.5
L,CO,VH,A,64.2,84.9,53.1,27.2,34.6,63.2,55.2
L,FC,VH,A,55.6,36.4,77.0,50.4,53.4,10.7,54.7
L,CO,VH,A,41.9,42.8,91.2,30.9,99.6,79.6,54.5
L,FC,VH,B,35.5,15.8,97.5,70.5,49.0,48.3,54.4
L,FO,VH,A,46.8,70.3,34.7,74.3,62.1,71.7,54.4
XL,FC,VH,A,68.6,60.7,16.4,59.5,61.7,47.2,54.3
L,FC,VH,A,40.9,39.1,29.1,94.4,100.0,84.9,54.3
L,FC,VH,A,63.9,49.9,18.9,57.2,100.0,65.7,54.2
XL,CO,VH,A,48.8,82.4,8.5,80.9,77.6,80.7,53.7
L,FC,VH,B,62.7,63.0,19.8,54.6,88.7,55.4,53.6
XL,FC,VH,A,75.2,51.2,22.9,19.4,97.1,93.8,53.3
L,FC,VH,B,53.5,72.6,76.3,29.7,25.3,38.8,53.2
XL,FC,VH,A,80.0,60.7,30.6,33.4,4.7,33.7,52.9
S,CO,VH,A,48.9,31.1,99.8,30.1,57.0,24.6,52.8
L,FC,HI,A,39.6,45.7,53.7,59.0,95.5,97.5,52.7
L,FC,VH,A,47.2,70.6,31.1,58.6,89.8,84.3,52.7
L,CO,VH,A,45.3,80.9,28.2,56.9,94.5,90.4,52.6
L,CO,VH,A,56.4,50.8,22.4,90.2,24.9,16.7,52.4
L,FC,VH,A,42.6,66.4,56.5,42.9,90.4,83.9,52.4
XL,FC,VH,A,76.8,34.9,18.6,63.1,6.6,24.6,52.2
L,FC,VH,A,55.8,49.8,80.1,20.4,55.2,36.9,52.1
